"YEAR"	"CTA_ring.Chrono"	"CWTALL_ring.Chrono"	"CWAadj_ring.Chrono"	"CWAadj_ew.Chrono"	"CWAadj_lw.Chrono"	"RWA_ring.Chrono"	"RWA_ew.Chrono"	"RWA_lw.Chrono"	"CN_ring.Chrono"	"CN_ew.Chrono"	"CN_lw.Chrono"	"TRW.Chrono"	"RWD.Chrono"
"1"	1950	0.999021429506924	0.992389464881646	0.988748774269159	1.00585672475476	0.958282527806848	1.07523678133765	1.09703072341317	0.921922478420321	1.07391205494284	1.09345298138293	0.985506446072482	1.08850688673752	1.00845627321416
"2"	1951	1.01850794556154	1.00607466418217	1.00781183827098	0.983164008687492	1.03034559570477	1.11004087488326	1.06862983275213	1.12605085935554	1.11342383026394	1.10489376646185	1.10489206688253	1.11923841453577	0.994459002455333
"3"	1952	0.983735499731144	1.05252451183261	1.02443038111154	1.02713905030467	1.02067712420083	1.08074218994752	0.989049350726785	1.36289271756433	1.05469088574232	0.964121198418157	1.34265466814126	1.05769909610457	1.04276548243997
"4"	1953	0.996663069051342	0.988829818085834	0.996189193013135	0.994858642192117	0.995109770120461	1.14285605273517	1.13205243865824	1.15435214149243	1.16755594087383	1.15836236879739	1.17689948890578	1.16663693199072	1.00050319982392
"5"	1954	1.01447606119292	0.995768107643558	0.999032419600115	0.995992081192564	1.00871375282457	0.986639824189611	0.97921554546314	0.957662500699229	1.00745141599403	0.988107494302384	1.00900889868267	1.02765028233495	0.992936890658967
"6"	1955	1.0249673093347	1.03719056940935	1.03188804414975	1.02091866505019	1.07900531996725	1.16616550053192	1.1546881807372	1.20928015105805	1.12221914473483	1.13094848059989	1.13391398608477	1.10681411204078	1.01250308418384
"7"	1956	1.02211939456073	1.00751645095509	1.022504779279	1.0067120393627	1.05273899121513	1.06834546812676	1.082576375909	0.991139999927657	1.05349621037169	1.07147850163827	0.951171807771664	1.07064959921812	0.9966893119527
"8"	1957	1.00219939080645	1.00001309062277	1.00114402881319	0.993766528989052	1.00965649473639	0.90265229764922	0.919982740058691	0.859067433227867	0.915812179780207	0.928191178101584	0.869394542711111	0.903884165168592	0.991586595245153
"9"	1958	0.981993457085628	1.02825494607576	1.00455670415545	1.00002448690015	1.00861886628142	0.868983234735799	0.863809929224807	0.884858150962262	0.87608801253751	0.87685487097185	0.894945081869567	0.857663355278737	1.03036857669657
"10"	1959	1.03639507809681	0.986787184420753	1.01100936638642	1.01379874426133	1.00227266761029	0.863183071457694	0.88565599493622	0.780315809639459	0.867992446359872	0.881320000419473	0.798178174177961	0.864627862187791	0.971519005774972
"11"	1960	1.0066183736238	1.02017929994673	1.03040702612588	1.03253770555824	1.01408899862891	0.904600505143188	0.840845690713089	1.08172937701012	0.893717304898164	0.821625688060204	1.1297804153082	0.888244977682732	1.02602790916966
"12"	1961	0.996807652710854	0.957922883130466	0.981369145143568	1.00994540760394	0.905387287632347	0.776729614523381	0.906815619904537	0.544653541320889	0.841653815095996	0.912663581199996	0.635143560592188	0.817927725895206	0.976029377037009
"13"	1962	1.00952762140017	0.976187749889414	0.994560655620193	0.992637025557886	1.00855687578246	1.02833677966307	1.17114624064528	0.760375485959245	1.0327198899253	1.13612235996014	0.763444721056579	1.06937354523864	0.979737337509397
"14"	1963	1.01446756319575	0.951812015520675	0.960499188258372	0.96422010433459	0.960147687057161	0.945824207775188	0.983789993984752	0.88259663611777	0.988423540609454	1.02020788745422	0.929674862356325	1.00214766724334	0.959853433630288
"15"	1964	0.906496565255774	0.96896394073127	0.929245632374862	0.942908636399512	0.88445378670689	0.715568885291868	0.697495927684743	0.733454174098461	0.778667443311529	0.740153801864547	0.861556394759461	0.690861006836784	1.02038898643988
"16"	1965	1.03543486962754	0.971866894529104	0.997704409384998	1.00876157844478	0.970051643642372	1.00362946641199	1.00920786132011	0.990517273205387	1.0150224919402	1.00841756831264	1.06672557554662	1.03860469100312	0.964529702259923
"17"	1966	0.986302232398161	1.00976221338648	0.989215523088662	0.968157704707952	1.05226932007022	0.960977918114728	0.947603386363733	0.985526707039358	0.984206688257619	0.989755914806269	0.995776503689891	0.9805043047861	1.00748114374898
